id,originalTitle,averageRating,isAdult,releaseDate,genres,grossWorldwide
tt26439764,Kantara: A Legend - Chapter 1,8.1,False,2025-10-03,"['Action', 'Drama', 'Fantasy']",5781691.0
tt0118751,Border,8.0,False,1997-06-13,"['Action', 'Drama', 'History']",
tt2075108,Baishe Srabon,8.1,False,2011-09-30,"['Action', 'Crime', 'Drama']",
tt2882328,Ugly,7.9,False,2014-12-26,"['Crime', 'Drama', 'Mystery']",
tt4169250,M.S. Dhoni: The Untold Story,8.0,False,2016-09-30,"['Biography', 'Drama', 'Sport']",28903047.0
tt4983780,Maanaadu,8.1,False,2021-11-25,"['Action', 'Adventure', 'Sci-Fi']",565759.0
tt5504168,Kshanam,8.1,False,2016-02-26,['Thriller'],
tt7725596,Badhaai ho,7.9,False,2018-10-19,"['Comedy', 'Drama']",26125610.0
tt21261388,Gargi,8.1,False,2022-07-15,"['Drama', 'Thriller']",366674.0
tt1093370,Jab We Met,7.9,False,2007-10-26,"['Comedy', 'Drama', 'Romance']",10065630.0
tt15980138,Kishkindha Kaandam,8.0,False,2024-09-12,"['Drama', 'Mystery', 'Thriller']",1882951.0
tt27118357,Amaran,8.1,False,2024-10-31,"['Action', 'Biography', 'Drama']",1738671.0
tt1773764,Ship of Theseus,8.0,False,2013-07-19,['Drama'],
tt11953248,Garuda Gamana Vrishabha Vahana,8.2,False,2021-11-19,"['Crime', 'Drama', 'Thriller']",
tt1695800,Pranchiyettan and the Saint,8.2,False,2010-09-10,"['Comedy', 'Drama']",957.0
tt3810932,Drushyam,8.2,False,2014-07-11,"['Crime', 'Drama', 'Mystery']",200000000.0
tt1188996,My Name Is Khan,7.9,False,2010-02-12,"['Drama', 'Romance']",42345360.0
tt27542289,Por Thozhil,8.0,False,2023-06-09,"['Action', 'Crime', 'Thriller']",350534.0
tt2395469,Gully Boy,7.9,False,2019-02-14,"['Drama', 'Music', 'Romance']",28299498.0
tt3394420,Ulidavaru Kandanthe,8.3,False,2014-03-28,"['Crime', 'Drama', 'Thriller']",
tt15327088,Kantara,8.1,False,2022-09-30,"['Action', 'Adventure', 'Drama']",2406221.0
tt11604676,Nayattu,8.0,False,2021-04-08,"['Crime', 'Thriller']",185586.0
tt7180544,Mukkabaaz,8.0,False,2018-01-12,"['Drama', 'Sport']",140981.0
tt27540542,Lucky Baskhar,8.0,False,2024-10-31,"['Crime', 'Drama', 'Thriller']",987421.0
tt7581572,Sudani from Nigeria,8.1,False,2018-04-20,"['Comedy', 'Drama', 'Sport']",809541.0
tt1649431,Vedam,8.1,False,2010-06-04,"['Action', 'Drama']",
tt0347304,Kal Ho Naa Ho,7.9,False,2003-11-28,"['Comedy', 'Drama', 'Musical']",13214520.0
tt5906392,Thondimuthalum Dhriksakshiyum,8.0,False,2017-07-14,"['Crime', 'Drama', 'Thriller']",803887.0
tt3449292,Manjhi: The Mountain Man,8.0,False,2015-08-21,"['Biography', 'Drama']",
tt1327035,Dev.D,7.9,False,2009-02-06,"['Comedy', 'Drama', 'Romance']",4047969.0
tt6315524,Take Off,8.0,False,2017-04-07,"['Action', 'Drama', 'Thriller']",884267.0
tt6054758,Kirik Party,8.2,False,2017-02-01,"['Comedy', 'Drama', 'Romance']",12195.0
tt10698680,K.G.F: Chapter 2,8.2,False,2022-04-13,"['Action', 'Crime', 'Drama']",89123940.0
tt0096028,Salaam Bombay!,7.9,False,1988-10-07,"['Crime', 'Drama']",2080758.0
tt7485048,Super 30,7.9,False,2019-07-12,"['Biography', 'Drama']",24701637.0
tt11375428,Hridayam,8.0,False,2022-01-21,"['Drama', 'Musical', 'Romance']",1740483.0
tt2631186,Bãhubali: The Beginning,8.0,False,2015-07-09,"['Action', 'Drama']",24548038.0
tt1609168,Vinnaithaandi Varuvaayaa,8.1,False,2010-02-26,"['Drama', 'Musical', 'Romance']",292732.0
tt1821682,Traffic,8.1,False,2011-01-07,"['Action', 'Adventure', 'Mystery']",
tt5764096,Hindi Medium,7.9,False,2017-05-19,"['Comedy', 'Drama']",41635636.0
tt9851854,Major,8.1,False,2022-06-03,"['Action', 'Biography', 'Drama']",4961424.0
tt26733325,Homebound,7.9,False,2025-09-26,['Drama'],63093.0
tt0222012,Hey Ram,8.0,False,2000-02-18,"['Crime', 'Drama', 'History']",274675.0
tt24226474,Jigarthanda DoubleX,8.0,False,2023-11-10,"['Action', 'Comedy', 'Drama']",279408.0
tt27007466,Lubber Pandhu,8.1,False,2024-09-20,"['Comedy', 'Drama', 'Sport']",179459.0
tt9526826,Android Kunjappan Version 5.25,8.0,False,2019-11-22,"['Comedy', 'Drama', 'Sci-Fi']",10230.0
tt22488728,Love Today,8.0,False,2022-11-04,"['Comedy', 'Drama', 'Romance']",158787.0
tt3614516,Ankhon Dekhi,7.9,False,2014-03-21,"['Comedy', 'Drama']",151226.0
tt7218518,Pad Man,7.8,False,2018-02-09,"['Comedy', 'Drama']",29045020.0
tt2181931,English Vinglish,7.8,False,2012-10-05,"['Comedy', 'Drama', 'Family']",10299150.0
tt8561086,Joseph,8.0,False,2018-12-06,"['Crime', 'Drama', 'Mystery']",
