Company,Rating,Reviews,Salaries,Interviews,Jobs,Benefits
Randstad,3.7,(4.7k),16.8k,332,6,342
EY Global Delivery Services ( EY GDS),3.5,(4.6k),50.9k,889,10,264
Hewlett Packard Enterprise,4.0,(4.6k),27.4k,268,290,546
Aditya Birla Fashion and Retail,4.0,(4.6k),13.1k,268,92,391
Home Credit Finance,4.0,(4.6k),9.4k,150,86,629
Cars24,3.5,(4.6k),15.5k,409,73,410
L&T Finance,3.9,(4.6k),11.7k,222,--,259
Mahindra Logistics,3.7,(4.5k),12.9k,253,204,446
Havells,3.9,(4.5k),14.8k,295,23,315
Dell,3.8,(4.5k),28.9k,425,44,540
Intas Pharmaceuticals,4.1,(4.5k),17.3k,264,54,362
R1 RCM,3.8,(4.5k),22.1k,359,199,335
OPPO,3.9,(4.5k),11.7k,253,9,602
Tata AIA Life Insurance,3.9,(4.5k),14.4k,254,708,298
Hetero,3.9,(4.4k),15.3k,331,89,332
Hyundai Motor India Limited,4.1,(4.4k),14.2k,326,--,519
Deutsche Bank,3.8,(4.4k),37k,426,622,399
Berger Paints,3.7,(4.4k),10.5k,434,113,273
Motilal Oswal Financial Services,3.7,(4.4k),13k,552,35,167
Lenskart,3.3,(4.3k),13k,457,198,199
TeamLease Services,3.9,(4.3k),16.3k,253,2,215
VE Commercial Vehicles,3.9,(4.3k),14.1k,289,16,340
Thermax Limited,4.2,(4.2k),13.1k,345,59,371
Macleods Pharmaceuticals,3.7,(4.2k),15.6k,270,13,334
Jubilant Foods Works,3.7,(4.2k),9.5k,254,305,180
Bajaj Auto,3.8,(4.2k),14.5k,328,--,496
Carelon Global Solutions,3.9,(4.2k),28.6k,423,63,7
Aakash Educational Services,3.2,(4.2k),13.9k,375,111,212
Kogta Financial India Limited,4.7,(4.1k),1.9k,251,138,31
LG Electronics,3.9,(4.1k),11.3k,262,--,399
Hindalco Industries,4.2,(4.1k),12.8k,309,7,327
Jindal Steel Limited,3.9,(4.1k),15.8k,422,55,328
State Street Corporation,3.5,(4.1k),32.6k,292,6,262
Royal Enfield,4.2,(4.1k),14.9k,203,15,396
DCB Bank,3.8,(4k),9.6k,231,22,248
HDFC Ergo General Insurance,4.0,(4k),12k,201,308,273
Tata Communications,3.9,(4k),23.5k,304,278,426
John Deere,4.0,(4k),15.4k,267,4,417
RBL Bank,3.5,(4k),18.4k,241,33,221
Cummins,4.3,(3.9k),15.6k,289,91,458
Publicis Sapient,3.3,(3.9k),31.3k,700,208,392
Bank of America,4.1,(3.9k),29k,293,--,414
Alembic Pharmaceuticals,3.9,(3.9k),15.4k,256,61,378
Pidilite Industries,4.2,(3.9k),11.7k,260,8,360
Oyo Rooms,3.0,(3.9k),14.2k,258,161,389
American Express,4.1,(3.8k),25.3k,429,130,435
Aditya Birla Sun Life Insurance,4.0,(3.8k),10k,183,1,214
Subros,3.8,(3.8k),12.7k,218,1,379
Grasim Industries,4.0,(3.8k),12.8k,282,4,267
